id,valormt2_predicted
877392,1623762.1125
201483,3045622.5
188674,3045622.5
1211067,3148516.35
883437,3141611.775
332550,3133616.625
320585,3117681.0
776969,3170524.5
435344,1881848.1375
1274573,3149387.325
846305,3129805.575
1345443,3149387.325
550169,3093584.1750000003
502072,3093584.1750000003
514698,3093584.1750000003
424985,3093584.1750000003
1026142,3417108.75
736991,1928209.95
394757,2066269.725
398647,2069744.625
253068,2216783.7
511414,1973661.3
231053,2225893.0500000003
526879,2069109.225
798974,2218843.8000000003
830409,1943533.35
431272,2069744.625
630631,2069744.625
763398,1927764.9000000001
276759,2329630.2
1368608,1938746.0250000001
317703,2134850.85
1221098,1898786.7
1257103,1897765.6500000001
1323936,1939341.375
1303633,1979153.7750000001
946955,2210467.5
425047,2378819.7
783014,2346957.0
495811,2260803.375
1011258,2210151.15
78622,2200598.5500000003
326168,2207968.65
544485,2237159.475
939843,2210151.15
825791,2210151.15
543441,2207968.65
486184,3085869.825
726088,3085334.325
752156,2906452.8000000003
1055205,2912801.625
1289402,2750425.65
372796,3647289.15
