id,valormt2_predicted
877392,1702823.2249999999
201483,3218812.0875
188674,3218812.0875
1211067,3354737.1374999997
883437,3345809.75
332550,3335550.4625
320585,3331856.3874999997
776969,3376395.4749999996
435344,1956913.3125
1274573,3292733.9625
846305,3337730.9499999997
1345443,3291243.8874999997
550169,3305431.425
502072,3321768.5749999997
514698,3313705.4499999997
424985,3304982.0749999997
1026142,3543557.7125
736991,1957462.65
394757,2099872.1625
398647,2099681.2125
253068,2228808.5375
511414,2058942.125
231053,2176309.875
526879,2099681.2125
798974,2176847.5749999997
830409,2041811.25
431272,2099681.2125
630631,2099681.2125
763398,1957809.5187499998
276759,2401713.05
1368608,1964114.43125
317703,2232422.3375
1221098,1973590.4437499999
1257103,1938050.5875
1323936,1963923.48125
1303633,2048651.4874999998
946955,2289232.5749999997
425047,2528202.225
783014,2522240.025
495811,2500782.375
1011258,2292295.85
78622,2277170.425
326168,2299754.5375
544485,2300619.5124999997
939843,2292295.85
825791,2289232.5749999997
543441,2302817.8125
486184,3327270.025
726088,3283281.2249999996
752156,3084924.0749999997
1055205,3056576.0749999997
1289402,2874386.025
372796,3803659.6374999997
