id,valormt2_predicted
877392,1777020.1391336522
201483,3399460.5252934513
188674,3399460.5252934513
1211067,3605128.1225977363
883437,3605128.1225977363
332550,3605128.1225977363
320585,3605128.1225977363
776969,3605128.1225977363
435344,2025272.3497244911
1274573,3605128.1225977363
846305,3605128.1225977363
1345443,3605128.1225977363
550169,3399460.5252934513
502072,3605128.1225977363
514698,3399460.5252934513
424985,3605128.1225977363
1026142,3825049.5513196466
736991,2257851.0644762143
394757,2257851.0644762143
398647,2257851.0644762143
253068,2448348.837810036
511414,2257851.0644762143
231053,2448348.837810036
526879,2257851.0644762143
798974,2448348.837810036
830409,2257851.0644762143
431272,2257851.0644762143
630631,2257851.0644762143
763398,2257851.0644762143
276759,2448348.837810036
1368608,2025272.3497244911
317703,2448348.837810036
1221098,2025272.3497244911
1257103,2025272.3497244911
1323936,2025272.3497244911
1303633,2257851.0644762143
946955,2448348.837810036
425047,2631183.8240174055
783014,2631183.8240174055
495811,2448348.837810036
1011258,2448348.837810036
78622,2448348.837810036
326168,2448348.837810036
544485,2448348.837810036
939843,2448348.837810036
825791,2448348.837810036
543441,2448348.837810036
486184,3399460.5252934513
726088,3399460.5252934513
752156,3237663.950483276
1055205,3237663.950483276
1289402,3086563.8276028973
372796,4036241.9024347225
