id,valormt2_predicted
877392,1875704.0
201483,2482750.5
188674,2482750.5
1211067,3070635.75
883437,3214901.0
332550,3061350.25
320585,3349587.0
776969,3321994.0
435344,1939503.625
1274573,2777642.75
846305,3146173.25
1345443,2599270.5
550169,3069680.5
502072,3155607.75
514698,3083971.0
424985,2890692.0
1026142,2722635.75
736991,2530603.25
394757,2174029.0
398647,2261380.25
253068,2300199.5
511414,2497094.0
231053,2637754.75
526879,2259034.75
798974,2103490.5
830409,2340417.75
431272,2347861.0
630631,2440461.25
763398,2271788.75
276759,2824074.0
1368608,2115463.0
317703,2178009.25
1221098,2221529.0
1257103,2075092.375
1323936,2216227.25
1303633,2163032.75
946955,2526958.0
425047,2605939.0
783014,2565593.0
495811,2816631.5
1011258,2479138.25
78622,2493650.0
326168,2493650.0
544485,2604675.25
939843,2495408.5
825791,2409544.25
543441,2557296.75
486184,3528628.5
726088,3377375.25
752156,3504139.75
1055205,3457707.5
1289402,3156010.25
372796,3616769.0
