id,valormt2_predicted
877392,1542574.006875
201483,2893341.375
188674,2893341.375
1211067,2991090.5324999997
883437,2984531.18625
332550,2976935.7937499997
320585,2961796.9499999997
776969,3011998.275
435344,1787755.7306249999
1274573,2991917.95875
846305,2973315.29625
1345443,2991917.95875
550169,2938904.96625
502072,2938904.96625
514698,2938904.96625
424985,2938904.96625
1026142,3246253.3125
736991,1831799.4525
394757,1962956.23875
398647,1966257.3937499998
253068,2105944.515
511414,1874978.2349999999
231053,2114598.3975
526879,1965653.76375
798974,2107901.6100000003
830409,1846356.6825
431272,1966257.3937499998
630631,1966257.3937499998
763398,1831376.655
276759,2213148.69
1368608,1841808.7237500001
317703,2028108.3074999999
1221098,1803847.3649999998
1257103,1802877.3675
1323936,1842374.30625
1303633,1880196.08625
946955,2099944.125
425047,2259878.715
783014,2229609.15
495811,2147763.20625
1011258,2099643.5925
78622,2090568.6225
326168,2097570.2175
544485,2125301.50125
939843,2099643.5925
825791,2099643.5925
543441,2097570.2175
486184,2931576.33375
726088,2931067.60875
752156,2761130.16
1055205,2767161.5437499997
1289402,2612904.3674999997
372796,3464924.6925
