id,valormt2_predicted
877392,1778846.1538461538
201483,3458333.3333333335
188674,3458333.3333333335
1211067,3579310.3448275863
883437,3565517.2413793104
332550,3551655.172413793
320585,3517241.379310345
776969,3586206.896551724
435344,2047619.0476190476
1274573,3554794.520547945
846305,3541095.890410959
1345443,3554794.520547945
550169,3496530.612244898
502072,3501088.4353741496
514698,3492040.8163265307
424985,3498843.537414966
1026142,3800000.0
736991,2152777.777777778
394757,2291666.6666666665
398647,2291666.6666666665
253068,2430555.5555555555
511414,2222222.222222222
231053,2430555.5555555555
526879,2291666.6666666665
798974,2430555.5555555555
830409,2187500.0
431272,2291666.6666666665
630631,2291666.6666666665
763398,2152777.777777778
276759,2536231.884057971
1368608,2142857.1428571427
317703,2357142.8571428573
1221098,2071428.5714285714
1257103,2071428.5714285714
1323936,2142857.1428571427
1303633,2214285.714285714
946955,2466666.6666666665
425047,2600000.0
783014,2600000.0
495811,2466666.6666666665
1011258,2466666.6666666665
78622,2400000.0
326168,2466666.6666666665
544485,2466666.6666666665
939843,2466666.6666666665
825791,2466666.6666666665
543441,2466666.6666666665
486184,3473913.0434782607
726088,3473913.0434782607
752156,3256521.7391304346
1055205,3256521.7391304346
1289402,3039130.434782609
372796,4043478.2608695654
