id,valormt2_predicted
877392,1600687.0125
201483,3048904.35
188674,3048904.35
1211067,3200377.0500000003
883437,3171882.15
332550,3178359.0
320585,3133291.95
776969,3203867.25
435344,1871246.7
1274573,3251716.4250000003
846305,3154193.325
1345443,3258600.075
550169,3167967.15
502072,3168463.0500000003
514698,3141053.775
424985,3165066.225
1026142,3469667.4
736991,1897263.9000000001
394757,2074721.4000000001
398647,2073811.725
253068,2133345.15
511414,2025062.1
231053,2123783.1
526879,2073811.725
798974,2127795.975
830409,2010680.7750000001
431272,2073811.725
630631,2073622.725
763398,1897452.9000000001
276759,2340469.575
1368608,1874664.1125
317703,2169067.5
1221098,1890015.3
1257103,1808925.6375
1323936,1873754.4375
1303633,1966956.075
946955,2186487.225
425047,2392479.9
783014,2392440.075
495811,2298052.125
1011258,2181579.75
78622,2148798.15
326168,2186931.15
544485,2182078.575
939843,2181579.75
825791,2186487.225
543441,2182916.025
486184,3142225.125
726088,3092871.375
752156,2900301.975
1055205,2925216.6750000003
1289402,2718029.25
372796,3539957.1750000003
