id,valormt2_predicted
877392,1781918.7999999998
201483,2358612.975
188674,2358612.975
1211067,2917103.9625
883437,3054155.9499999997
332550,2908282.7375
320585,3182107.65
776969,3155894.3
435344,1842528.4437499999
1274573,2638760.6125
846305,2988864.5875
1345443,2469306.975
550169,2916196.475
502072,2997827.3625
514698,2929772.4499999997
424985,2746157.4
1026142,2586503.9625
736991,2404073.0875
394757,2065327.5499999998
398647,2148311.2375
253068,2185189.525
511414,2372239.3
231053,2505867.0124999997
526879,2146083.0124999997
798974,1998315.9749999999
830409,2223396.8625
431272,2230467.9499999997
630631,2318438.1875
763398,2158199.3125
276759,2682870.3
1368608,2009689.8499999999
317703,2069108.7874999999
1221098,2110452.55
1257103,1971337.7562499999
1323936,2105415.8874999997
1303633,2054881.1124999998
946955,2400610.1
425047,2475642.05
783014,2437313.35
495811,2675799.925
1011258,2355181.3375
78622,2368967.5
326168,2368967.5
544485,2474441.4875
939843,2370638.0749999997
825791,2289067.0375
543441,2429431.9125
486184,3352197.0749999997
726088,3208506.4875
752156,3328932.7624999997
1055205,3284822.125
1289402,2998209.7375
372796,3435930.55
